X,Y,OBJECTID,Well_No,Well_Class,Lic_No,Lic_Op,Spud_Date,Water_dep_m,Rig_Datum,Datum_Elev_m,TD_MD_m,TD_TVDSS_m,TD_Date,Mech_Stat,T1_Age,T1_Name,R1_Age,R1_Name,R1_thick_m,R1_Rock,R1_Fluid,R1_flow_hrs,R1_rate_bblsd,R1_rate_mmcfd,R1_choke,R1_Oil_ton,R1_Gas_m3,R1_Cond_m3,R1_WHP_bar,R1_WHT_oC,R1_waterPC,T2_Age,T2_Name,R2_Age,R2_Name,R2_thick_m,R2_Rock,R2_Fluid,T3_Age,T3_Name,R3_Age,R3_Name,R3_thick_m,R3_Rock,R3_Fluid,T4_Age,T4_Name,R4_Age,R4_Name,R4_thick_m,R4_Rock,R4_Fluid,Comments
-0.100572277999959,57.942347747,28,20/05b- 14,Appraisal,P2170,EQUINOR UK LIMITED,2019/03/04 00:00:00+00,118.4,Rotary Table,38.6,3784,3736,2019/04/01 00:00:00+00,AB3,Upper Jurassic,Burns Sandstone Mbr,Upper Jurassic,Burns Sandstone Mbr,0,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59989615300003,57.4057431310001,29,22/18c- 8,Exploration,P2184,NAUTICAL PETROLEUM LIMITED,2018/07/27 00:00:00+00,93.7,Rotary Table,46.3,1928,999.95,2018/09/07 00:00:00+00,AB3,Triassic,Skagerrak Fm,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.06949616099996,60.9438375780001,30,204/05b- 2,Exploration,P1830,SICCAR POINT ENERGY E&P LIMITED,2019/03/15 00:00:00+00,1115,Rotary Table,32.7,3230,3197.08,2019/04/29 00:00:00+00,AB3,Eocene,"Colsay Mbr, Colsay Unit 1",Palaeocene ,"Colsay Mbr, Colsay Unit 1",35.7,Sandstone and siltstone,Oil,,,,,,,,,,,Palaeocene,"Colsay Mbr, Colsay Unit 3",Eocene,Hildasay Mbr,23.75,Sandstone,Gas,Palaeocene ,"Colsay Mbr, Lower Colsay Unit",Palaeocene ,"Colsay Mbr, Colsay Unit 3",n/a,Basalt,Oil,Eocene,Hildasay Mbr,Palaeocene,"Colsay Mbr, Lower Colsay Unit",94.5,Sandstone and siltstone,Gas,
1.55702583300007,59.4909125,31,9/18a- 40,Exploration,P103,APACHE BERYL LIMITED,2018/02/04 00:00:00+00,114,Rotary Table,23.16,4727.45,4096.51,2018/03/26 00:00:00+00,Completed,Middle Jurassic,Beryl Formation,Middle Jurassic,Beryl Formation,106.38,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.78196750000006,57.3540425,32,22/19c- 7,Exploration,P1620,ENI UK LIMITED,2018/12/30 00:00:00+00,95.7,Rotary Table,45,4641,4595.33,2019/02/01 00:00:00+00,AB3,Triassic,Skagerrak Fm,Triassic,Skagerrak Fm,182.33,Sandstone,,,,,,,,,,,,Middle Jurassic,Pentland Fm,,,,,,,,,,,,,,,,,,,,
-4.15397138899993,60.8186425000001,33,204/10a- 5,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,2018/04/24 00:00:00+00,1082,Rotary Table,31,2442,2373,2018/05/22 00:00:00+00,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,51.8,Sandstone,Oil/Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.33625222200004,54.6287169440001,34,44/12b- 7,Exploration,P1731,NEPTUNE E&P UKCS LIMITED,2018/10/29 00:00:00+00,23.2,Rotary Table,45.7,3835.9,3734.4,2018/12/07 00:00:00+00,AB3,Carboniferous,Ketch Fm,Carboniferous,Ketch Fm,87.8,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.63380361100008,58.0952816670001,35,16/29e- 19,Exploration,P2371,CHRYSAOR NORTH SEA LIMITED,2019/02/14 00:00:00+00,100.46208,Rotary Table,48.1,3741.1152,3691.37184,2019/03/30 00:00:00+00,AB2,Lower Paleocene,Maureen Fm,Lower Paleocene,Maureen Fm,115.824,Sandstone,Oil,,,,,,,,,,,Triassic,Skagerrak Fm,Triassic,Skagerrak Fm,,,,,,,,,,,,,,,,,,
1.64759250000003,53.1939686110001,36,48/24b- 6,Appraisal,P2085,IOG NORTH SEA LIMITED,2019/08/06 00:00:00+00,28.6,Rotary Table,39,2297,2251,2019/09/06 00:00:00+00,AB3,Permian,Leman Sandstone,Permian,Leman Sandstone,146,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.23227994399997,60.934404639,37,206/04a- 4,Exploration,P1453,TOTAL E&P UK LIMITED,2018/05/27 00:00:00+00,320.5,Rotary Table,24,4312,4017,2018/08/10 00:00:00+00,Plugged,Lower Cretaceous,Royal Sovereign Formation,Lower Cretaceous,Royal Sovereign,71,Sandstone,Gas,73,,41.2,44/64,,1635424,,354,39.36,,,,,,,,,,,,,,,,,,,,,,,
-4.05218666699994,60.4116825,38,204/20-L11Z,APPRAISAL,P556,BP EXPLORATION OPERATING COMPANY LIMITED ,2019/01/03 00:00:00+00,468,Rotary Table,32,4336,2304,2019/02/12 00:00:00+00,AB1,Palaeocene,T35 Reservoir,Palaeocene,T35 Reservoir,21.6,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.99233055600007,57.8095611110001,39,22/10b- 9A,EXPLORATION,P2378,EQUINOR EXPLORATION UK LIMITED,2019/09/25 00:00:00+00,89,Rotary Table,38.6,3390,3351.4,2019/10/19 00:00:00+00,AB3,Upper Jurassic ,Fulmar Formation ,Upper Jurassic ,Fulmar Formation ,40,Siltstone/Silty Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.894045278000021,57.9696502780001,40,21/05c-F1Y,APPRAISAL,P2013,ZENNOR PATHWAY LIMITED ,2018/10/04 00:00:00+00,139.9,Rotary Table,23.5,4453.1,3603,2018/10/10 00:00:00+00,Completed (Shut In),Lower Cretaceous,Britannia,Lower Cretaceous,Britannia,207,Sandstone,Gas/Condensate,48,,50,64/64,,73,,238.3,38.9,,,,,,,,,,,,,,,,,,,,,,,
-2.23155299999996,60.9363440000001,41,206/04a- 5Z,APPRAISAL,P1453,TOTAL E&P UK LIMITED ,2019/08/28 00:00:00+00,296.8,Rotary Table,26.2,4836,4323,2019/11/08 00:00:00+00,AB2,Lower Cretaceous,Royal Sovereign,Lower Cretaceous,Royal Sovereign,167.4,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.894045278000021,57.9696502780001,42,21/05c-F1Z,APPRAISAL,P2013,ZENNOR PATHWAY LIMITED,2018/08/22 00:00:00+00,139.9,Rotary Table,23.5,4534.2,3571,2019/09/05 00:00:00+00,AB1,Lower Cretaceous,Britannia ,Lower Cretaceous,Britannia ,45.4,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.43413249999998,58.192550833,43,13/23c- 11,APPRAISAL,P2358,I3 ENERGY NORTH SEA LIMITED,2019/11/07 00:00:00+00,114,Mean Sea Level,31.1,1813.6,1674,2019/11/25 00:00:00+00,AB3,Lower Cretaceous ,Captain Sandstone,Lower Cretaceous ,Captain Sandstone,46.6,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.98594444399993,60.261548889,44,206/21- 1,EXPLORATION,P2298,CNOOC PETROLEUM EUROPE LIMITED,2019/08/31 00:00:00+00,185,Rotary Table,30.2,2265.9,2179.9,2019/10/05 00:00:00+00,AB3,Upper Cretaceous,Haddock (K70),Upper Cretaceous,Haddock (K70),393.2,Sandstone,,,,,,,,,,,,Lower Cretaceous ,Victory (K40),Lower Cretaceous,Victory (K40),90.8,Sandstone,,,,,,,,,,,,,,,,
1.31058000000007,54.546217778,45,43/12a- 3,EXPLORATION,P2128,SPIRIT ENERGY RESOURCES LIMITED,2019/07/29 00:00:00+00,31.1,Mean Sea Level,56.7,3871,3739.9,2019/10/15 00:00:00+00,AB3,Westphalian ,Westphalian A ,Westphalian ,Westphalian A,21.6,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
